lang,task,test_accuracy,test_duration
ent,read,0.997,0 days 00:00:57.812659
eno,write,0.0,0 days 00:00:57.166606
eno,read,0.0,0 days 00:00:57.276178
ar,write,0.85,0 days 00:00:57.148974
ar,read,0.989,0 days 00:00:57.203876
br,write,0.799,0 days 00:00:57.032484
br,read,0.77,0 days 00:00:57.113672
de,write,0.696,0 days 00:00:57.278236
de,read,0.806,0 days 00:00:57.352122
en,write,0.352,0 days 00:00:57.110856
en,read,0.321,0 days 00:00:57.076703
eo,write,0.991,0 days 00:00:57.131694
eo,read,0.995,0 days 00:00:57.173717
es,write,0.641,0 days 00:00:57.118197
es,read,0.848,0 days 00:00:57.191083
fi,write,0.98,0 days 00:00:57.331767
fi,read,0.926,0 days 00:00:57.310826
fr,write,0.277,0 days 00:00:57.159281
fr,read,0.807,0 days 00:00:57.304421
fro,write,0.991,0 days 00:00:57.266540
fro,read,0.896,0 days 00:00:57.268553
it,write,0.959,0 days 00:00:57.209483
it,read,0.722,0 days 00:00:57.311748
ko,write,0.822,0 days 00:00:57.333572
ko,read,0.971,0 days 00:00:57.184199
nl,write,0.737,0 days 00:00:57.097352
nl,read,0.589,0 days 00:00:57.174425
pt,write,0.758,0 days 00:00:57.088681
pt,read,0.815,0 days 00:00:57.149943
ru,write,0.387,0 days 00:00:57.330403
ru,read,0.97,0 days 00:00:57.324352
sh,write,0.995,0 days 00:00:57.195517
sh,read,0.994,0 days 00:00:57.139303
tr,write,0.96,0 days 00:00:57.217485
tr,read,0.955,0 days 00:00:57.257761
zh,write,0.191,0 days 00:00:57.248935
zh,read,0.782,0 days 00:00:56.615934
ent,write,0.995,0 days 00:00:57.443889
ent,read,0.996,0 days 00:00:57.361245
eno,write,0.0,0 days 00:00:57.387950
eno,read,0.0,0 days 00:00:57.382891
ar,write,0.854,0 days 00:00:57.304074
ar,read,0.996,0 days 00:00:57.409385
br,write,0.806,0 days 00:00:57.148806
br,read,0.791,0 days 00:00:57.239011
de,write,0.685,0 days 00:00:57.387404
de,read,0.78,0 days 00:00:57.425448
en,write,0.362,0 days 00:00:57.153976
en,read,0.303,0 days 00:00:57.286200
eo,write,0.99,0 days 00:00:57.336549
eo,read,0.998,0 days 00:00:57.326846
es,write,0.642,0 days 00:00:57.237115
es,read,0.866,0 days 00:00:57.282631
fi,write,0.974,0 days 00:00:57.354186
fi,read,0.92,0 days 00:00:57.381512
fr,write,0.276,0 days 00:00:57.348766
fr,read,0.792,0 days 00:00:57.473762
fro,write,0.987,0 days 00:00:57.380917
fro,read,0.904,0 days 00:00:57.357883
it,write,0.949,0 days 00:00:57.301030
it,read,0.718,0 days 00:00:57.282063
ko,write,0.824,0 days 00:00:57.341482
ko,read,0.98,0 days 00:00:57.299652
nl,write,0.729,0 days 00:00:57.279814
